listing_id,url,address,postcode,price_isk,size_m2,rooms,bedrooms,bathrooms,property_type,open_house,listed_date,first_fetched,status,change_type,previous_price_isk
1072819,https://fasteignir.visir.is/property/1072819,Baldursgata 6A,101,71900000,71.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076345,https://fasteignir.visir.is/property/1076345,Barónsstígur 6,101,79900000,82.6,2,1,1,Fjölbýlishús,,,,active,,
550407,https://fasteignir.visir.is/property/550407,Bergstaðastræti 48A,101,75900000,85.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076269,https://fasteignir.visir.is/property/1076269,Bergþórugata 16,101,69900000,76.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1071298,https://fasteignir.visir.is/property/1071298,Brekkustígur 8,101,73900000,83.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073357,https://fasteignir.visir.is/property/1073357,Brávallagata 18,101,79900000,100.6,3,1,1,Fjölbýlishús,,,,active,,
1077003,https://fasteignir.visir.is/property/1077003,Brávallagata 20,101,75900000,84,3,2,1,Fjölbýlishús,,2026-07-12,,active,,
1077398,https://fasteignir.visir.is/property/1077398,Brávallagata 20,101,75900000,84,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1070994,https://fasteignir.visir.is/property/1070994,Bræðraborgarstígur 13,101,79800000,84.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1067503,https://fasteignir.visir.is/property/1067503,Grettisgata 71,101,74900000,88.6,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1077294,https://fasteignir.visir.is/property/1077294,Grettisgata 73,101,77400000,103.5,5,4,1,Fjölbýlishús,,,2026-07-13,active,,
1060399,https://fasteignir.visir.is/property/1060399,Grettisgata 80,101,62900000,70.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1072490,https://fasteignir.visir.is/property/1072490,Grundarstígur 2,101,77900000,98.5,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074722,https://fasteignir.visir.is/property/1074722,Grundarstígur 8,101,73000000,73,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
589295,https://fasteignir.visir.is/property/589295,Hringbraut 97,101,72900000,82.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1062028,https://fasteignir.visir.is/property/1062028,Hringbraut 99,101,67900000,89.5,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076942,https://fasteignir.visir.is/property/1076942,Hverfisgata 102,101,64900000,70.9,0,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076138,https://fasteignir.visir.is/property/1076138,Hverfisgata 37,101,64900000,70.5,2,1,1,Fjölbýlishús,,2026-07-13,,active,,
1072402,https://fasteignir.visir.is/property/1072402,Hverfisgata 39,101,74900000,96.5,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
